Month,Cause of Death,Annual rate of mortality
Apr 1854,Zymotic Diseases,1.4
May 1854,Zymotic Diseases,6.2
Jun 1854,Zymotic Diseases,4.7
Jul 1854,Zymotic Diseases,150
Aug 1854,Zymotic Diseases,328.5
Sep 1854,Zymotic Diseases,312.2
Oct 1854,Zymotic Diseases,197
Nov 1854,Zymotic Diseases,340.6
Dec 1854,Zymotic Diseases,631.5
Jan 1855,Zymotic Diseases,1022.8
Feb 1855,Zymotic Diseases,822.8
Mar 1855,Zymotic Diseases,480.3
Apr 1855,Zymotic Diseases,177.5
May 1855,Zymotic Diseases,171.8
Jun 1855,Zymotic Diseases,247.6
Jul 1855,Zymotic Diseases,107.5
Aug 1855,Zymotic Diseases,129.9
Sep 1855,Zymotic Diseases,47.5
Oct 1855,Zymotic Diseases,32.8
Nov 1855,Zymotic Diseases,56.4
Dec 1855,Zymotic Diseases,25.3
Jan 1856,Zymotic Diseases,11.4
Feb 1856,Zymotic Diseases,6.6
Mar 1856,Zymotic Diseases,3.9
Apr 1854,Wounds & Injuries,0
May 1854,Wounds & Injuries,0
Jun 1854,Wounds & Injuries,0
Jul 1854,Wounds & Injuries,0
Aug 1854,Wounds & Injuries,0.4
Sep 1854,Wounds & Injuries,32.1
Oct 1854,Wounds & Injuries,51.7
Nov 1854,Wounds & Injuries,115.8
Dec 1854,Wounds & Injuries,41.7
Jan 1855,Wounds & Injuries,30.7
Feb 1855,Wounds & Injuries,16.3
Mar 1855,Wounds & Injuries,12.8
Apr 1855,Wounds & Injuries,17.9
May 1855,Wounds & Injuries,16.6
Jun 1855,Wounds & Injuries,64.5
Jul 1855,Wounds & Injuries,37.7
Aug 1855,Wounds & Injuries,44.1
Sep 1855,Wounds & Injuries,69.4
Oct 1855,Wounds & Injuries,13.6
Nov 1855,Wounds & Injuries,10.5
Dec 1855,Wounds & Injuries,5
Jan 1856,Wounds & Injuries,0.5
Feb 1856,Wounds & Injuries,0
Mar 1856,Wounds & Injuries,0
Apr 1854,All other causes,7
May 1854,All other causes,4.6
Jun 1854,All other causes,2.5
Jul 1854,All other causes,9.6
Aug 1854,All other causes,11.9
Sep 1854,All other causes,27.7
Oct 1854,All other causes,50.1
Nov 1854,All other causes,42.8
Dec 1854,All other causes,48
Jan 1855,All other causes,120
Feb 1855,All other causes,140.1
Mar 1855,All other causes,68.6
Apr 1855,All other causes,21.2
May 1855,All other causes,12.5
Jun 1855,All other causes,9.6
Jul 1855,All other causes,9.3
Aug 1855,All other causes,6.7
Sep 1855,All other causes,5
Oct 1855,All other causes,4.6
Nov 1855,All other causes,10.1
Dec 1855,All other causes,7.8
Jan 1856,All other causes,13
Feb 1856,All other causes,5.2
Mar 1856,All other causes,9.1
